GameId,Month,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,IsSack,IsChallenge,IsChallengeReversed,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,YardLineFixed,YardLineDirection,IsPenaltyAccepted,IsNoPlay,PenaltyYards
2022090800,September,2,9,37,BUF,LA,2,6,75,0,2,NO HUDDLE SHOTGUN,PASS,0,1,0,0,0,0,0,0,0,0,0,0,0,25,OPP,0,0,0
2022090800,September,2,10,21,BUF,LA,1,10,71,0,4,NO HUDDLE SHOTGUN,PASS,0,1,0,0,0,0,0,0,0,0,0,0,0,29,OPP,0,0,0
2022090800,September,2,11,5,BUF,LA,1,10,100,1,21,NO HUDDLE SHOTGUN,PASS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,OPP,0,0,0
2022090800,September,1,0,45,BUF,LA,2,7,71,0,0,NO HUDDLE SHOTGUN,PASS,0,1,0,0,0,0,0,0,1,0,0,0,0,29,OPP,0,0,0
2022090800,September,1,1,25,BUF,LA,1,10,68,0,3,SHOTGUN,PASS,0,1,0,0,0,0,0,0,0,0,0,0,0,32,OPP,0,0,0
2022090800,September,1,10,3,BUF,LA,3,1,74,1,26,UNDER CENTER,PASS,0,1,0,1,0,0,0,0,0,0,0,0,0,26,OPP,0,0,0
2022090800,September,1,10,42,BUF,LA,2,9,66,0,8,SHOTGUN,PASS,0,1,0,0,0,0,0,0,0,0,0,0,0,34,OPP,0,0,0
2022090800,September,1,11,54,BUF,LA,2,8,53,1,12,SHOTGUN,PASS,0,1,0,0,0,0,0,0,0,0,0,0,0,47,OPP,0,0,0
2022090800,September,3,3,6,BUF,LA,2,10,22,1,11,SHOTGUN,PASS,0,1,0,0,0,0,0,0,0,0,0,0,0,22,OWN,0,0,0
2022090800,September,3,1,45,BUF,LA,2,9,34,0,4,SHOTGUN,PASS,0,1,0,0,0,0,0,0,0,0,0,0,0,34,OWN,0,0,0
